# name|return_type|param_name:type,param_name:type
ASN1_R_INVALID_BMPSTRING_LENGTH|int|void
ASN1_R_INVALID_DIGIT|int|void
ASN1_R_INVALID_MIME_TYPE|int|void
ASN1_R_INVALID_MODIFIER|int|void
ASN1_R_INVALID_NUMBER|int|void
ASN1_R_INVALID_OBJECT_ENCODING|int|void
ASN1_R_INVALID_SEPARATOR|int|void
ASN1_R_INVALID_TIME_FORMAT|int|void
ASN1_R_INVALID_UNIVERSALSTRING_LENGTH|int|void
ASN1_R_INVALID_UTF8STRING|int|void
ASN1_R_IV_TOO_LARGE|int|void
ASN1_R_LENGTH_ERROR|int|void
ASN1_R_LIST_ERROR|int|void
ASN1_R_MIME_NO_CONTENT_TYPE|int|void
ASN1_R_MIME_PARSE_ERROR|int|void
ASN1_R_MIME_SIG_PARSE_ERROR|int|void
ASN1_R_MISSING_EOC|int|void
ASN1_R_MISSING_SECOND_NUMBER|int|void
ASN1_R_MISSING_VALUE|int|void
ASN1_R_MSTRING_NOT_UNIVERSAL|int|void
ASN1_R_MSTRING_WRONG_TAG|int|void
ASN1_R_NESTED_ASN1_STRING|int|void
ASN1_R_NON_HEX_CHARACTERS|int|void
ASN1_R_NOT_ASCII_FORMAT|int|void
ASN1_R_NOT_ENOUGH_DATA|int|void
ASN1_R_NO_CONTENT_TYPE|int|void
ASN1_R_NO_DEFAULT_DIGEST|int|void
ASN1_R_NO_MATCHING_CHOICE_TYPE|int|void
ASN1_R_NO_MULTIPART_BODY_FAILURE|int|void
ASN1_R_NO_MULTIPART_BOUNDARY|int|void
ASN1_R_NO_SIG_CONTENT_TYPE|int|void
ASN1_R_NULL_IS_WRONG_LENGTH|int|void
ASN1_R_OBJECT_NOT_ASCII_FORMAT|int|void
ASN1_R_ODD_NUMBER_OF_CHARS|int|void
ASN1_R_PRIVATE_KEY_HEADER_MISSING|int|void
ASN1_R_SECOND_NUMBER_TOO_LARGE|int|void
ASN1_R_SEQUENCE_LENGTH_MISMATCH|int|void
ASN1_R_SEQUENCE_NOT_CONSTRUCTED|int|void
ASN1_R_SEQUENCE_OR_SET_NEEDS_CONFIG|int|void
ASN1_R_SHORT_LINE|int|void
ASN1_R_SIG_INVALID_MIME_TYPE|int|void
ASN1_R_STREAMING_NOT_SUPPORTED|int|void
ASN1_R_STRING_TOO_LONG|int|void
ASN1_R_STRING_TOO_SHORT|int|void
ASN1_R_TAG_VALUE_TOO_HIGH|int|void
ASN1_R_THE_ASN1_OBJECT_IDENTIFIER_IS_NOT_KNOWN_FOR_THIS_MD|int|void
ASN1_R_TIME_NOT_ASCII_FORMAT|int|void
ASN1_R_TOO_LONG|int|void
ASN1_R_TYPE_NOT_CONSTRUCTED|int|void
ASN1_R_UNABLE_TO_DECODE_RSA_KEY|int|void
ASN1_R_UNABLE_TO_DECODE_RSA_PRIVATE_KEY|int|void
ASN1_R_UNEXPECTED_EOC|int|void
ASN1_R_UNIVERSALSTRING_IS_WRONG_LENGTH|int|void
ASN1_R_UNKNOWN_FORMAT|int|void
ASN1_R_UNKNOWN_MESSAGE_DIGEST_ALGORITHM|int|void
ASN1_R_UNKNOWN_OBJECT_TYPE|int|void
ASN1_R_UNKNOWN_PUBLIC_KEY_TYPE|int|void
ASN1_R_UNKNOWN_SIGNATURE_ALGORITHM|int|void
ASN1_R_UNKNOWN_TAG|int|void
ASN1_R_UNKOWN_FORMAT|int|void
ASN1_R_UNSUPPORTED_ANY_DEFINED_BY_TYPE|int|void
ASN1_R_UNSUPPORTED_CIPHER|int|void
ASN1_R_UNSUPPORTED_ENCRYPTION_ALGORITHM|int|void
ASN1_R_UNSUPPORTED_PUBLIC_KEY_TYPE|int|void
ASN1_R_UNSUPPORTED_TYPE|int|void
ASN1_R_WRONG_PUBLIC_KEY_TYPE|int|void
ASN1_R_WRONG_TAG|int|void
ASN1_R_WRONG_TYPE|int|void
ASN1_STREAM_ARG_st|int|param1298088274:int
ASN1_STRFLGS_DUMP_ALL|int|void
ASN1_STRFLGS_DUMP_DER|int|void
ASN1_STRFLGS_DUMP_UNKNOWN|int|void
ASN1_STRFLGS_ESC_2253|int|void
